cactus,pterax,pteray,isJumping,isDucking
1.5023473e-05,1.4325026e-05,0.0,0,0
1.6506092e-05,1.4325026e-05,0.0,0,0
1.813504e-05,1.4325026e-05,0.0,0,0
1.9924724e-05,1.4325026e-05,0.0,0,0
2.1891043e-05,1.4325026e-05,0.0,0,0
2.4051384e-05,1.4325026e-05,0.0,0,0
2.6424941e-05,1.4325026e-05,0.0,0,0
2.9032703e-05,1.4325026e-05,0.0,0,0
3.1897835e-05,1.4325026e-05,0.0,0,0
3.5045672e-05,1.4325026e-05,0.0,0,0
3.850418e-05,1.4325026e-05,0.0,0,0
4.2303935e-05,1.4325026e-05,0.0,0,0
4.6478697e-05,1.4325026e-05,0.0,0,0
5.1065377e-05,1.4325026e-05,0.0,0,0
5.6104705e-05,1.4325026e-05,0.0,0,0
6.164126e-05,1.4325026e-05,0.0,0,0
6.7724184e-05,1.4325026e-05,0.0,0,0
7.440729e-05,1.4325026e-05,0.0,0,0
8.174991e-05,1.4325026e-05,0.0,0,0
8.981695e-05,1.4325026e-05,0.0,0,0
9.8680066e-05,1.4325026e-05,0.0,0,0
0.0001084176,1.4325026e-05,0.0,0,0
0.000119116004,1.4325026e-05,0.0,0,0
0.00013086984,1.4325026e-05,0.0,0,0
0.00014378347,1.4325026e-05,0.0,0,0
0.000157971,1.4325026e-05,0.0,0,0
0.00017355836,1.4325026e-05,0.0,0,0
0.00019068332,1.4325026e-05,0.0,0,0
0.00020949783,1.4325026e-05,0.0,0,0
0.00023016807,1.4325026e-05,0.0,0,0
0.0002528775,1.4325026e-05,0.0,0,0
0.00027782668,1.4325026e-05,0.0,0,0
0.00030523687,1.4325026e-05,0.0,0,0
0.00033535014,1.4325026e-05,0.0,0,0
0.00036843348,1.4325026e-05,0.0,0,0
0.00040477887,1.4325026e-05,0.0,0,0
0.00044470854,1.4325026e-05,0.0,0,0
0.00048857473,1.4325026e-05,0.0,0,0
0.0005367661,1.4325026e-05,0.0,0,0
0.00058970746,1.4325026e-05,0.0,0,0
0.0006478676,1.4325026e-05,0.0,0,0
0.0007117592,1.4325026e-05,0.0,0,0
0.00078194746,1.4325026e-05,0.0,0,0
0.00085905043,1.4325026e-05,0.0,0,0
0.0009437497,1.4325026e-05,0.0,0,0
0.0010367902,1.4325026e-05,0.0,0,0
0.001138994,1.4325026e-05,0.0,0,0
0.001251259,1.4325026e-05,0.0,0,0
0.0013745754,1.4325026e-05,0.0,0,0
0.0015100252,1.4325026e-05,0.0,0,0
0.0016588018,1.4325026e-05,0.0,0,0
0.0018222079,1.4325026e-05,0.0,0,0
0.002001681,1.4325026e-05,0.0,0,0
0.0021987893,1.4325026e-05,0.0,0,0
0.0024152626,1.4325026e-05,0.0,0,0
0.002652989,1.4325026e-05,0.0,0,0
0.0029140483,1.4325026e-05,0.0,0,0
0.0032007105,1.4325026e-05,0.0,0,0
0.0035154766,1.4325026e-05,0.0,0,0
0.0038610739,1.4325026e-05,0.0,0,0
0.004240506,1.4325026e-05,0.0,0,0
0.004657046,1.4325026e-05,0.0,0,0
0.005114297,1.4325026e-05,0.0,0,0
0.005616185,1.4325026e-05,0.0,0,0
0.006167025,1.4325026e-05,0.0,0,0
0.0067715175,1.4325026e-05,0.0,0,0
0.007434827,1.4325026e-05,0.0,0,0
0.00816257,1.4325026e-05,0.0,0,0
0.008960911,1.4325026e-05,0.0,0,0
0.009836551,1.4325026e-05,0.0,0,0
0.010796834,1.4325026e-05,0.0,0,0
0.011849731,1.4325026e-05,0.0,0,0
0.013003968,1.4325026e-05,0.0,0,0
0.014268997,1.4325026e-05,0.0,0,0
0.015655152,1.4325026e-05,0.0,0,0
0.017173603,1.4325026e-05,0.0,0,0
0.018836532,1.4325026e-05,0.0,0,0
0.02065708,1.4325026e-05,0.0,0,0
0.022649543,1.4325026e-05,0.0,0,0
0.02482929,1.4325026e-05,0.0,0,0
0.027213,1.4325026e-05,0.0,0,0
0.029818527,1.4325026e-05,0.0,0,0
0.03266518,1.4325026e-05,0.0,0,0
0.03577353,1.4325026e-05,0.0,0,0
0.039165728,1.4325026e-05,0.0,0,0
0.04286529,1.4325026e-05,0.0,0,0
0.046897214,1.4325026e-05,0.0,0,0
0.051288057,1.4325026e-05,0.0,0,0
0.056065865,1.4325026e-05,0.0,0,0
0.06126002,1.4325026e-05,0.0,0,0
0.066901214,1.4325026e-05,0.0,0,0
0.07302148,1.4325026e-05,0.0,0,0
0.07965391,1.4325026e-05,0.0,0,0
0.08683232,1.4325026e-05,0.0,0,0
0.09459109,1.4325026e-05,0.0,0,0
0.10296496,1.4325026e-05,0.0,0,0
0.11198854,1.4325026e-05,0.0,0,0
0.12169564,1.4325026e-05,0.0,0,0
0.13211887,1.4325026e-05,0.0,0,0
0.14328918,1.4325026e-05,0.0,0,0
0.15523511,1.4325026e-05,0.0,0,0
0.1679817,1.4325026e-05,0.0,0,0
0.18154985,1.4325026e-05,0.0,0,0
0.19595581,1.4325026e-05,0.0,0,0
0.21121004,1.4325026e-05,0.0,0,0
0.22731604,1.4325026e-05,0.0,0,0
0.24426968,1.4325026e-05,0.0,0,0
0.26205894,1.4325026e-05,0.0,0,0
0.28066278,1.4325026e-05,0.0,0,0
0.30005032,1.4325026e-05,0.0,0,0
0.3201808,1.4325026e-05,0.0,0,0
0.34100384,1.4325026e-05,0.0,0,0
0.36245933,1.4325026e-05,0.0,0,0
0.3844771,1.4325026e-05,0.0,0,0
0.4069784,1.4325026e-05,0.0,0,0
0.42987692,1.4325026e-05,0.0,0,0
0.45307964,1.4325026e-05,0.0,0,0
0.47648802,1.4325026e-05,0.0,0,0
0.5,1.4325026e-05,0.0,0,0
0.52351195,1.4325026e-05,0.0,0,0
0.54692036,1.4325026e-05,0.0,0,0
0.57012314,1.4325026e-05,0.0,0,0
0.5930216,1.4325026e-05,0.0,0,0
0.61552286,1.4325026e-05,0.0,0,0
0.6375407,1.4325026e-05,0.0,0,0
0.65899616,1.4325026e-05,0.0,0,0
0.6798192,1.4325026e-05,0.0,0,0
0.69994986,1.4325026e-05,0.0,0,0
0.7193372,1.4325026e-05,0.0,0,0
0.7379411,1.4325026e-05,0.0,0,0
0.75573033,1.4325026e-05,0.0,0,0
0.7726841,1.4325026e-05,0.0,0,0
0.78879,1.4325026e-05,0.0,0,0
0.80404425,1.4325026e-05,0.0,0,0
0.81845015,1.4325026e-05,0.0,0,0
0.83201844,1.4325026e-05,0.0,0,0
0.8447649,1.4325026e-05,0.0,1,0
0.8567108,1.4325026e-05,0.0,1,0
